File,id,!ownerId,schoolBusOwner,!Name,givenName,surname,role,notes,!phone1,!phone1Type,!phone2,!phone2Type,schoolBusOwnerContactPhones,schoolBusOwnerContactAddresses,!nullID
Contact,200000,200000,rg:{'id':'200000'},81,Darryl,Delaney,Assistant,rg:None,604-942-1232,Yard,,Work,"rg:[ {'id':'200000', 'type': 'Yard',  'phoneNumber': '604-942-1232' } ]","rg:dataset('ContactAddress.csv','1')",1
Contact,200001,200000,rg:{'id':'200000'},14,Cheryl,Mills,rg:None,rg:None,604-277-2069,Work,,Cell,"rg:[ {'id':'200001', 'type': 'Work',  'phoneNumber': '604-277-2069' } ]","rg:dataset('ContactAddress.csv','2')",2
Contact,200002,200000,rg:{'id':'200000'},95,Ty,Coats,Supervisor,rg:None,604-988-5640,Cell,604-988-7246,Work,"rg:[ {'id':'200002', 'type': 'Cell',  'phoneNumber': '604-988-5640' },{'type': 'Work',  'phoneNumber': '604-988-7246' } ]","rg:dataset('ContactAddress.csv','3')",3
Contact,200003,200000,rg:{'id':'200000'},70,Mattie,Brown,Owner,rg:None,250-858-4353,Yard,,Cell,"rg:[ {'id':'200003', 'type': 'Yard',  'phoneNumber': '250-858-4353' } ]","rg:dataset('ContactAddress.csv','4')",4
Contact,200004,200000,rg:{'id':'200000'},98,Mildred,Trevino,Driver,rg:None,778-688-4239,Yard,,Work,"rg:[ {'id':'200004', 'type': 'Yard',  'phoneNumber': '778-688-4239' } ]","rg:dataset('ContactAddress.csv','5')",5
Contact,200005,200000,rg:{'id':'200000'},127,Jimmy,Innocent,Driver,This is a note,250-588-8563,Yard,,Yard,"rg:[ {'id':'200005', 'type': 'Yard',  'phoneNumber': '250-588-8563' } ]","rg:dataset('ContactAddress.csv','6')",6
Contact,200006,200000,rg:{'id':'200000'},112,Lupe,Agosto,Owner,rg:None,604-932-7183,Work,,Yard,"rg:[ {'id':'200006', 'type': 'Work',  'phoneNumber': '604-932-7183' } ]","rg:dataset('ContactAddress.csv','7')",7
Contact,200007,200000,rg:{'id':'200000'},72,Dianna,Cook,Owner,This is a note,250-260-5412,Cell,250-260-2244,Cell,"rg:[ {'id':'200007', 'type': 'Cell',  'phoneNumber': '250-260-5412' },{'type': 'Cell',  'phoneNumber': '250-260-2244' } ]","rg:dataset('ContactAddress.csv','8')",8
Contact,200008,200001,rg:{'id':'200001'},111,Juan,Clifton,rg:None,rg:None,250-369-7389,Yard,,Cell,"rg:[ {'id':'200008', 'type': 'Yard',  'phoneNumber': '250-369-7389' } ]","rg:dataset('ContactAddress.csv','9')",9
Contact,200009,200002,rg:{'id':'200002'},29,Nancy,Foley,Assistant,This is a note,604-614-7032,Yard,604-614-9100,Cell,"rg:[ {'id':'200009', 'type': 'Yard',  'phoneNumber': '604-614-7032' },{'type': 'Cell',  'phoneNumber': '604-614-9100' } ]","rg:dataset('ContactAddress.csv','10')",10
Contact,200010,200003,rg:{'id':'200003'},22,Bill,Finley,Owner,rg:None,250-858-1942,Cell,,Cell,"rg:[ {'id':'200010', 'type': 'Cell',  'phoneNumber': '250-858-1942' } ]","rg:dataset('ContactAddress.csv','11')",11
Contact,200011,200003,rg:{'id':'200003'},123,Wayne,Anderson,Assistant,rg:None,604-939-0629,Work,604-939-2432,Cell,"rg:[ {'id':'200011', 'type': 'Work',  'phoneNumber': '604-939-0629' },{'type': 'Cell',  'phoneNumber': '604-939-2432' } ]","rg:dataset('ContactAddress.csv','12')",12
Contact,200012,200004,rg:{'id':'200004'},124,Peter,Miner,Driver,rg:None,250-620-1802,Yard,,Work,"rg:[ {'id':'200012', 'type': 'Yard',  'phoneNumber': '250-620-1802' } ]","rg:dataset('ContactAddress.csv','13')",13
Contact,200013,200004,rg:{'id':'200004'},101,Francesco,Mullins,Mechanic,rg:None,604-974-7099,Work,,Yard,"rg:[ {'id':'200013', 'type': 'Work',  'phoneNumber': '604-974-7099' } ]","rg:dataset('ContactAddress.csv','14')",14
Contact,200014,200004,rg:{'id':'200004'},131,Elaine,Stewart,Owner,rg:None,250-385-2736,Work,250-385-1147,Yard,"rg:[ {'id':'200014', 'type': 'Work',  'phoneNumber': '250-385-2736' },{'type': 'Yard',  'phoneNumber': '250-385-1147' } ]","rg:dataset('ContactAddress.csv','15')",15
Contact,200015,200005,rg:{'id':'200005'},77,Renee,Smith,Owner,rg:None,250-716-1092,Cell,,Yard,"rg:[ {'id':'200015', 'type': 'Cell',  'phoneNumber': '250-716-1092' } ]","rg:dataset('ContactAddress.csv','16')",16
